"Station","Date","Air min","Air max","Degree-days","Accumulated DD","Not","Not1"
LIVERMOR.C,03/15/2020,46,56,2.12,2.12,"1","1"
LIVERMOR.C,03/16/2020,44,65,5.90,8.03,"A","A"
LIVERMOR.C,03/17/2020,41,59,2.86,10.89,"1","1"
LIVERMOR.C,03/18/2020,44,57,2.33,13.22,"1","1"
LIVERMOR.C,03/19/2020,46,64,5.82,19.04,"1","1"
LIVERMOR.C,03/20/2020,41,65,5.44,24.48,"1","1"
LIVERMOR.C,03/21/2020,44,65,5.90,30.38,"1","1"
LIVERMOR.C,03/22/2020,43,72,9.00,39.38,"1","1"
LIVERMOR.C,03/23/2020,47,62,5.08,44.46,"1","1"
LIVERMOR.C,03/24/2020,46,62,4.87,49.33,"1","1"
LIVERMOR.C,03/25/2020,41,60,3.28,52.61,"1","1"
LIVERMOR.C,03/26/2020,36,63,4.05,56.66,"1","1"
LIVERMOR.C,03/27/2020,39,64,4.76,61.42,"1","1"
LIVERMOR.C,03/28/2020,46,59,3.47,64.89,"1","1"
LIVERMOR.C,03/29/2020,50,66,8.00,72.89,"1","1"
LIVERMOR.C,03/30/2020,45,70,8.47,81.36,"1","1"
LIVERMOR.C,03/31/2020,45,73,9.91,91.28,"1","1"
LIVERMOR.C,04/01/2020,45,68,7.51,98.79,"1","1"
LIVERMOR.C,04/02/2020,46,71,9.19,107.98,"1","1"
LIVERMOR.C,04/03/2020,41,70,7.70,115.68,"1","1"
LIVERMOR.C,04/04/2020,42,63,4.69,120.37,"1","1"
LIVERMOR.C,04/05/2020,49,57,3.15,123.52,"1","1"
LIVERMOR.C,04/06/2020,41,56,1.69,125.20,"1","1"
LIVERMOR.C,04/07/2020,39,69,6.95,132.15,"1","1"
LIVERMOR.C,04/08/2020,50,71,10.50,142.65,"1","1"
LIVERMOR.C,04/09/2020,51,62,6.50,149.15,"1","1"
LIVERMOR.C,04/10/2020,49,71,10.09,159.24,"1","1"
LIVERMOR.C,04/11/2020,46,72,9.68,168.92,"1","1"
LIVERMOR.C,04/12/2020,48,75,11.73,180.65,"1","1"
LIVERMOR.C,04/13/2020,46,79,13.10,193.75,"1","1"
LIVERMOR.C,04/14/2020,52,82,17.00,210.75,"1","1"
LIVERMOR.C,04/15/2020,46,85,16.05,226.80,"1","1"
LIVERMOR.C,04/16/2020,51,78,14.50,241.30,"1","1"
LIVERMOR.C,04/17/2020,51,72,11.50,252.80,"1","1"
LIVERMOR.C,04/18/2020,53,74,13.50,266.30,"1","1"
LIVERMOR.C,04/19/2020,48,73,10.74,277.04,"1","1"
LIVERMOR.C,04/20/2020,52,72,12.00,289.04,"1","1"
LIVERMOR.C,04/21/2020,45,79,12.83,301.87,"1","1"
LIVERMOR.C,04/22/2020,48,72,10.25,312.11,"A","A"
LIVERMOR.C,04/23/2020,47,71,9.46,321.57,"A","A"
LIVERMOR.C,04/24/2020,45,72,9.43,331.00,"A","A"
LIVERMOR.C,04/25/2020,46,73,10.16,341.17,"A","A"
LIVERMOR.C,04/26/2020,53,87,20.00,361.17,"1","1"
LIVERMOR.C,04/27/2020,54,87,20.50,381.67,"1","1"
LIVERMOR.C,04/28/2020,48,74,11.24,392.90,"A","A"
LIVERMOR.C,04/29/2020,48,75,11.73,404.64,"A","A"
LIVERMOR.C,04/30/2020,54,84,19.00,423.64,"1","1"
LIVERMOR.C,05/01/2020,51,84,17.50,441.14,"1","1"
LIVERMOR.C,05/02/2020,55,76,15.50,456.64,"1","1"
LIVERMOR.C,05/03/2020,50,79,14.50,471.14,"1","1"
LIVERMOR.C,05/04/2020,44,86,15.98,487.11,"1","1"
LIVERMOR.C,05/05/2020,46,86,16.54,503.65,"1","1"
LIVERMOR.C,05/06/2020,49,88,18.57,522.22,"1","1"
LIVERMOR.C,05/07/2020,49,76,12.58,534.80,"A","A"
LIVERMOR.C,05/08/2020,51,98,24.50,559.30,"1","1"
LIVERMOR.C,05/09/2020,53,93,23.00,582.30,"1","1"
LIVERMOR.C,05/10/2020,51,84,17.50,599.80,"1","1"
LIVERMOR.C,05/11/2020,46,80,13.59,613.39,"1","1"
LIVERMOR.C,05/12/2020,48,78,13.22,626.61,"A","A"
LIVERMOR.C,05/13/2020,48,78,13.22,639.84,"A","A"
LIVERMOR.C,05/14/2020,50,74,12.00,651.84,"1","1"
LIVERMOR.C,05/15/2020,51,82,16.50,668.34,"1","1"
LIVERMOR.C,05/16/2020,55,82,18.50,686.84,"1","1"
LIVERMOR.C,05/17/2020,50,78,14.00,700.84,"A","A"
LIVERMOR.C,05/18/2020,50,72,11.00,711.84,"1","1"
LIVERMOR.C,05/19/2020,48,74,11.24,723.07,"1","1"
LIVERMOR.C,05/20/2020,51,79,15.00,738.07,"1","1"
LIVERMOR.C,05/21/2020,50,86,18.00,756.07,"1","1"
LIVERMOR.C,05/22/2020,52,82,17.00,773.07,"1","1"
LIVERMOR.C,05/23/2020,52,80,16.00,789.07,"A","A"
LIVERMOR.C,05/24/2020,51,94,22.50,811.57,"1","1"
LIVERMOR.C,05/25/2020,58,100,29.00,840.57,"1","1"
LIVERMOR.C,05/26/2020,52,77,14.50,855.07,"A","A"
LIVERMOR.C,05/27/2020,52,78,15.00,870.07,"A","A"
LIVERMOR.C,05/28/2020,57,100,28.50,898.57,"1","1"
LIVERMOR.C,05/29/2020,59,90,24.50,923.07,"1","1"
LIVERMOR.C,05/30/2020,61,78,19.50,942.57,"1","1"
LIVERMOR.C,05/31/2020,57,79,18.00,960.57,"1","1"
LIVERMOR.C,06/01/2020,61,88,24.50,985.07,"1","1"
LIVERMOR.C,06/02/2020,58,99,28.50,1013.57,"1","1"
LIVERMOR.C,06/03/2020,62,103,32.50,1046.07,"1","1"
LIVERMOR.C,06/04/2020,57,103,30.00,1076.07,"1","1"
LIVERMOR.C,06/05/2020,57,76,16.50,1092.57,"1","1"
LIVERMOR.C,06/06/2020,52,79,15.50,1108.07,"A","A"
LIVERMOR.C,06/07/2020,52,79,15.50,1123.57,"A","A"
LIVERMOR.C,06/08/2020,55,86,20.50,1144.07,"1","1"
LIVERMOR.C,06/09/2020,50,94,22.00,1166.07,"1","1"
LIVERMOR.C,06/10/2020,57,98,27.50,1193.57,"1","1"
LIVERMOR.C,06/11/2020,56,95,25.50,1219.07,"1","1"
LIVERMOR.C,06/12/2020,56,75,15.50,1234.57,"1","1"
LIVERMOR.C,06/13/2020,55,78,16.50,1251.07,"1","1"
LIVERMOR.C,06/14/2020,52,86,19.00,1270.07,"1","1"
LIVERMOR.C,06/15/2020,55,84,19.50,1289.57,"A","A"
LIVERMOR.C,06/16/2020,56,83,19.50,1309.07,"1","1"
LIVERMOR.C,06/17/2020,60,90,25.00,1334.07,"1","1"
LIVERMOR.C,06/18/2020,54,98,26.00,1360.07,"1","1"
LIVERMOR.C,06/19/2020,57,98,27.50,1387.57,"1","1"
LIVERMOR.C,06/20/2020,55,94,24.50,1412.07,"1","1"
LIVERMOR.C,06/21/2020,58,96,27.00,1439.07,"1","1"
LIVERMOR.C,06/22/2020,57,100,28.50,1467.57,"1","1"
LIVERMOR.C,06/23/2020,60,98,29.00,1496.57,"1","1"
LIVERMOR.C,06/24/2020,60,99,29.50,1526.07,"1","1"
LIVERMOR.C,06/25/2020,55,87,21.00,1547.07,"A","A"
LIVERMOR.C,06/26/2020,55,88,21.50,1568.57,"A","A"
LIVERMOR.C,06/27/2020,61,96,28.50,1597.07,"1","1"
LIVERMOR.C,06/28/2020,58,79,18.50,1615.57,"1","1"
LIVERMOR.C,06/29/2020,56,90,23.00,1638.57,"1","1"
LIVERMOR.C,06/30/2020,55,95,25.00,1663.57,"1","1"
LIVERMOR.C,07/01/2020,56,92,24.00,1687.57,"1","1"
LIVERMOR.C,07/02/2020,54,86,20.00,1707.57,"1","1"
LIVERMOR.C,07/03/2020,55,88,21.50,1729.07,"A","A"
LIVERMOR.C,07/04/2020,53,97,25.00,1754.07,"1","1"
LIVERMOR.C,07/05/2020,56,89,22.50,1776.57,"A","A"
LIVERMOR.C,07/06/2020,58,89,23.50,1800.07,"1","1"
LIVERMOR.C,07/07/2020,52,92,22.00,1822.07,"1","1"
LIVERMOR.C,07/08/2020,62,95,28.50,1850.57,"1","1"
LIVERMOR.C,07/09/2020,56,90,23.00,1873.57,"A","A"
LIVERMOR.C,07/10/2020,58,103,30.50,1904.07,"1","1"
LIVERMOR.C,07/11/2020,57,102,29.50,1933.57,"1","1"
LIVERMOR.C,07/12/2020,58,104,31.00,1964.57,"1","1"
LIVERMOR.C,07/13/2020,59,95,27.00,1991.57,"1","1"
LIVERMOR.C,07/14/2020,56,93,24.50,2016.07,"1","1"
LIVERMOR.C,07/15/2020,58,97,27.50,2043.57,"1","1"
LIVERMOR.C,07/16/2020,58,94,26.00,2069.57,"1","1"
LIVERMOR.C,07/17/2020,57,86,21.50,2091.07,"1","1"
LIVERMOR.C,07/18/2020,58,95,26.50,2117.57,"1","1"
LIVERMOR.C,07/19/2020,57,89,23.00,2140.57,"A","A"
LIVERMOR.C,07/20/2020,57,88,22.50,2163.07,"A","A"
LIVERMOR.C,07/21/2020,55,94,24.50,2187.57,"1","1"
LIVERMOR.C,07/22/2020,57,89,23.00,2210.57,"A","A"
LIVERMOR.C,07/23/2020,53,93,23.00,2233.57,"1","1"
LIVERMOR.C,07/24/2020,58,92,25.00,2258.57,"1","1"
LIVERMOR.C,07/25/2020,55,93,24.00,2282.57,"1","1"
LIVERMOR.C,07/26/2020,57,97,27.00,2309.57,"1","1"
LIVERMOR.C,07/27/2020,59,100,29.50,2339.07,"1","1"
LIVERMOR.C,07/28/2020,56,99,27.50,2366.57,"1","1"
LIVERMOR.C,07/29/2020,56,88,22.00,2388.57,"A","A"
LIVERMOR.C,07/30/2020,57,88,22.50,2411.07,"A","A"
LIVERMOR.C,07/31/2020,55,94,24.50,2435.57,"1","1"
LIVERMOR.C,08/01/2020,54,97,25.50,2461.07,"1","1"
LIVERMOR.C,08/02/2020,55,99,27.00,2488.07,"1","1"
LIVERMOR.C,08/03/2020,59,100,29.50,2517.57,"1","1"
LIVERMOR.C,08/04/2020,57,96,26.50,2544.07,"1","1"
LIVERMOR.C,08/05/2020,56,89,22.50,2566.57,"A","A"
LIVERMOR.C,08/06/2020,54,90,22.00,2588.57,"1","1"
LIVERMOR.C,08/07/2020,58,89,23.50,2612.07,"A","A"
LIVERMOR.C,08/08/2020,60,94,27.00,2639.07,"1","1"
LIVERMOR.C,08/09/2020,60,99,29.50,2668.57,"1","1"
LIVERMOR.C,08/10/2020,62,98,30.00,2698.57,"1","1"
LIVERMOR.C,08/11/2020,58,88,23.00,2721.57,"1","1"
LIVERMOR.C,08/12/2020,56,96,26.00,2747.57,"1","1"
LIVERMOR.C,08/13/2020,57,90,23.50,2771.07,"A","A"
LIVERMOR.C,08/14/2020,70,106,38.00,2809.07,"1","1"
LIVERMOR.C,08/15/2020,69,106,37.50,2846.57,"1","1"
LIVERMOR.C,08/16/2020,56,90,23.00,2869.57,"A","A"
LIVERMOR.C,08/17/2020,56,88,22.00,2891.57,"A","A"
LIVERMOR.C,08/18/2020,55,86,20.50,2912.07,"A","A"
LIVERMOR.C,08/19/2020,56,85,20.50,2932.57,"A","A"
LIVERMOR.C,08/20/2020,59,95,27.00,2959.57,"1","1"
LIVERMOR.C,08/21/2020,59,95,27.00,2986.57,"1","1"
LIVERMOR.C,08/22/2020,62,98,30.00,3016.57,"1","1"
LIVERMOR.C,08/23/2020,61,95,28.00,3044.57,"1","1"
LIVERMOR.C,08/24/2020,66,90,28.00,3072.57,"1","1"
LIVERMOR.C,08/25/2020,56,88,22.00,3094.57,"A","A"
LIVERMOR.C,08/26/2020,56,89,22.50,3117.07,"A","A"
LIVERMOR.C,08/27/2020,53,89,21.00,3138.07,"1","1"
LIVERMOR.C,08/28/2020,57,94,25.50,3163.57,"1","1"
LIVERMOR.C,08/29/2020,59,89,24.00,3187.57,"1","1"
LIVERMOR.C,08/30/2020,55,90,22.50,3210.07,"1","1"
LIVERMOR.C,08/31/2020,56,92,24.00,3234.07,"1","1"
LIVERMOR.C,09/01/2020,57,87,22.00,3256.07,"1","1"
LIVERMOR.C,09/02/2020,55,84,19.50,3275.57,"1","1"
LIVERMOR.C,09/03/2020,54,90,22.00,3297.57,"1","1"
LIVERMOR.C,09/04/2020,56,97,26.50,3324.07,"1","1"
LIVERMOR.C,09/05/2020,56,90,23.00,3347.07,"A","A"
LIVERMOR.C,09/06/2020,56,88,22.00,3369.07,"A","A"
LIVERMOR.C,09/07/2020,55,89,22.00,3391.07,"A","A"
LIVERMOR.C,09/08/2020,55,88,21.50,3412.57,"A","A"
LIVERMOR.C,09/09/2020,59,83,21.00,3433.57,"1","1"
LIVERMOR.C,09/10/2020,55,76,15.50,3449.07,"1","1"
LIVERMOR.C,09/11/2020,54,88,21.00,3470.07,"1","1"
LIVERMOR.C,09/12/2020,55,86,20.50,3490.57,"A","A"
LIVERMOR.C,09/13/2020,55,86,20.50,3511.07,"1","1"
LIVERMOR.C,09/14/2020,55,85,20.00,3531.07,"A","A"
LIVERMOR.C,09/15/2020,54,83,18.50,3549.57,"A","A"
LIVERMOR.C,09/16/2020,53,83,18.00,3567.57,"A","A"
LIVERMOR.C,09/17/2020,54,92,23.00,3590.57,"1","1"
LIVERMOR.C,09/18/2020,63,85,24.00,3614.57,"1","1"
LIVERMOR.C,09/19/2020,54,88,21.00,3635.57,"1","1"
LIVERMOR.C,09/20/2020,55,94,24.50,3660.07,"1","1"
LIVERMOR.C,09/21/2020,55,94,24.50,3684.57,"1","1"
LIVERMOR.C,09/22/2020,55,92,23.50,3708.07,"1","1"
LIVERMOR.C,09/23/2020,55,92,23.50,3731.57,"1","1"
LIVERMOR.C,09/24/2020,59,90,24.50,3756.07,"1","1"
LIVERMOR.C,09/25/2020,55,87,21.00,3777.07,"1","1"
LIVERMOR.C,09/26/2020,57,93,25.00,3802.07,"1","1"
LIVERMOR.C,09/27/2020,54,83,18.50,3820.57,"A","A"
LIVERMOR.C,09/28/2020,54,83,18.50,3839.07,"A","A"
LIVERMOR.C,09/29/2020,59,98,28.50,3867.57,"1","1"
LIVERMOR.C,09/30/2020,61,100,30.50,3898.07,"1","1"
LIVERMOR.C,10/01/2020,53,82,17.50,3915.57,"A","A"
LIVERMOR.C,10/02/2020,53,81,17.00,3932.57,"A","A"
LIVERMOR.C,10/03/2020,53,81,17.00,3949.57,"A","A"
LIVERMOR.C,10/04/2020,52,78,15.00,3964.57,"A","A"
LIVERMOR.C,10/05/2020,52,79,15.50,3980.07,"A","A"
LIVERMOR.C,10/06/2020,51,81,16.00,3996.07,"A","A"
LIVERMOR.C,10/07/2020,54,86,20.00,4016.07,"1","1"
LIVERMOR.C,10/08/2020,52,80,16.00,4032.07,"1","1"
LIVERMOR.C,10/09/2020,50,81,15.50,4047.57,"A","A"
LIVERMOR.C,10/10/2020,50,80,15.00,4062.57,"A","A"
LIVERMOR.C,10/11/2020,53,84,18.50,4081.07,"1","1"
LIVERMOR.C,10/12/2020,52,89,20.50,4101.57,"1","1"
LIVERMOR.C,10/13/2020,50,92,21.00,4122.57,"1","1"
LIVERMOR.C,10/14/2020,50,81,15.50,4138.07,"A","A"
LIVERMOR.C,10/15/2020,49,78,13.58,4151.65,"A","A"
LIVERMOR.C,10/16/2020,50,77,13.50,4165.15,"A","A"
LIVERMOR.C,10/17/2020,49,78,13.58,4178.73,"A","A"
LIVERMOR.C,10/18/2020,52,93,22.50,4201.23,"1","1"
LIVERMOR.C,10/19/2020,54,92,23.00,4224.23,"1","1"
LIVERMOR.C,10/20/2020,54,92,23.00,4247.23,"1","1"
LIVERMOR.C,10/21/2020,56,92,24.00,4271.23,"1","1"
LIVERMOR.C,10/22/2020,53,82,17.50,4288.73,"1","1"
LIVERMOR.C,10/23/2020,49,77,13.08,4301.81,"A","A"
LIVERMOR.C,10/24/2020,46,77,12.12,4313.93,"1","1"
LIVERMOR.C,10/25/2020,47,71,9.46,4323.39,"1","1"